Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
30 Apr 2024,19:30,Lucknow Super Giants,145,144,Mumbai Indians,Lucknow Super Giants won by 4 wickets.,145/6 (19.2) : 144/7 (20),2.07,1.74,11,2024,1
29 Apr 2024,19:30,Kolkata Knight Riders,157,153,Delhi Capitals,Kolkata Knight Riders won by 7 wickets.,157/3 (16.3) : 153/9 (20),1.72,2.11,11,2024,1
28 Apr 2024,19:30,Chennai Super Kings,212,134,Sunrisers Hyderabad,Chennai Super Kings won by 78 runs.,212/3 (20) : 134/10 (18.5),1.85,1.94,11,2024,1
27 Apr 2024,19:30,Lucknow Super Giants,196,199,Rajasthan Royals,Rajasthan Royals won by 7 wickets.,196/5 (20) : 199/3 (19),2.05,1.76,11,2024,1
26 Apr 2024,19:30,Kolkata Knight Riders,261,262,Punjab Kings,Punjab Kings won by 8 wickets.,261/6 (20) : 262/2 (18.4),1.67,2.20,11,2024,1
25 Apr 2024,19:30,Sunrisers Hyderabad,171,206,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 35 runs.,171/8 (20) : 206/7 (20),1.67,2.18,11,2024,1
24 Apr 2024,19:30,Delhi Capitals,224,220,Gujarat Titans,Delhi Capitals won by 4 runs.,224/4 (20) : 220/8 (20),1.99,1.81,11,2024,1
23 Apr 2024,19:30,Chennai Super Kings,210,213,Lucknow Super Giants,Lucknow Super Giants won by 6 wickets.,210/4 (20) : 213/4 (19.3),1.78,2.02,11,2024,1
22 Apr 2024,19:30,Rajasthan Royals,183,179,Mumbai Indians,Rajasthan Royals won by 9 wickets.,183/1 (18.4) : 179/9 (20),2.06,1.75,11,2024,1
21 Apr 2024,19:30,Punjab Kings,142,146,Gujarat Titans,Gujarat Titans won by 3 wickets.,142/10 (20) : 146/7 (19.1),2.05,1.76,11,2024,1
20 Apr 2024,19:30,Delhi Capitals,199,266,Sunrisers Hyderabad,Sunrisers Hyderabad won by 67 runs.,199/10 (19.1) : 266/7 (20),2.15,1.69,11,2024,1
19 Apr 2024,19:30,Lucknow Super Giants,180,176,Chennai Super Kings,Lucknow Super Giants won by 8 wickets.,180/2 (19) : 176/6 (20),1.99,1.80,11,2024,1
18 Apr 2024,19:30,Punjab Kings,183,192,Mumbai Indians,Mumbai Indians won by 9 runs.,183/10 (19.1) : 192/7 (20),2.58,1.50,11,2024,1
17 Apr 2024,19:30,Gujarat Titans,89,92,Delhi Capitals,Delhi Capitals won by 6 wickets.,89/10 (17.3) : 92/4 (8.5),1.72,2.10,11,2024,1
16 Apr 2024,19:30,Kolkata Knight Riders,223,224,Rajasthan Royals,Rajasthan Royals won by 2 wickets.,223/6 (20) : 224/8 (20),1.85,1.96,11,2024,1
15 Apr 2024,19:30,Royal Challengers Bengaluru,262,287,Sunrisers Hyderabad,Sunrisers Hyderabad won by 25 runs.,262/7 (20) : 287/3 (20),2.03,1.78,11,2024,1
14 Apr 2024,19:30,Mumbai Indians,186,206,Chennai Super Kings,Chennai Super Kings won by 20 runs.,186/6 (20) : 206/4 (20),1.57,2.37,11,2024,1
13 Apr 2024,19:30,Punjab Kings,147,152,Rajasthan Royals,Rajasthan Royals won by 3 wickets.,147/8 (20) : 152/7 (19.5),2.11,1.71,11,2024,1
12 Apr 2024,19:30,Lucknow Super Giants,167,170,Delhi Capitals,Delhi Capitals won by 6 wickets.,167/7 (20) : 170/4 (18.1),1.71,2.11,11,2024,1
11 Apr 2024,19:30,Mumbai Indians,199,196,Royal Challengers Bengaluru,Mumbai Indians won by 7 wickets.,199/3 (15.3) : 196/8 (20),1.59,2.35,11,2024,1
26 May 2024 - Play Offs,19:30,Kolkata Knight Riders,114,113,Sunrisers Hyderabad,Kolkata Knight Riders won by 8 wickets.,114/2 (10.3) : 113/10 (18.3),1.87,1.90,12,2024,2
24 May 2024 - Play Offs,19:30,Sunrisers Hyderabad,175,139,Rajasthan Royals,Sunrisers Hyderabad won by 36 runs.,175/9 (20) : 139/7 (20),1.79,1.99,12,2024,2
22 May 2024 - Play Offs,19:30,Rajasthan Royals,174,172,Royal Challengers Bengaluru,Rajasthan Royals won by 4 wickets.,174/6 (19) : 172/8 (20),1.98,1.81,12,2024,2
21 May 2024 - Play Offs,19:30,Kolkata Knight Riders,164,159,Sunrisers Hyderabad,Kolkata Knight Riders won by 8 wickets.,164/2 (13.4) : 159/10 (19.3),1.94,1.84,12,2024,2
18 May 2024,19:30,Royal Challengers Bengaluru,218,191,Chennai Super Kings,Royal Challengers Bengaluru won by 27 runs.,218/5 (20) : 191/7 (20),1.84,1.94,12,2024,2
17 May 2024,19:30,Mumbai Indians,196,214,Lucknow Super Giants,Lucknow Super Giants won by 18 runs.,196/6 (20) : 214/6 (20),1.74,2.07,12,2024,2
15 May 2024,19:30,Rajasthan Royals,144,145,Punjab Kings,Punjab Kings won by 5 wickets.,144/9 (20) : 145/5 (18.5),1.64,2.23,11,2024,2
12 May 2024,19:30,Royal Challengers Bengaluru,187,140,Delhi Capitals,Royal Challengers Bengaluru won by 47 runs.,187/9 (20) : 140/10 (19.1),1.71,2.12,11,2024,2
11 May 2024,19:30,Kolkata Knight Riders,157,139,Mumbai Indians,Kolkata Knight Riders won by 18 runs.,157/7 (16) : 139/8 (16),1.83,1.94,11,2024,2
10 May 2024,19:30,Gujarat Titans,231,196,Chennai Super Kings,Gujarat Titans won by 35 runs.,231/3 (20) : 196/8 (20),2.21,1.65,11,2024,2
09 May 2024,19:30,Punjab Kings,181,241,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 60 runs.,181/10 (17) : 241/7 (20),2.02,1.77,11,2024,2
08 May 2024,19:30,Sunrisers Hyderabad,167,165,Lucknow Super Giants,Sunrisers Hyderabad won by 10 wickets.,167/0 (9.4) : 165/4 (20),1.73,2.08,11,2024,2
07 May 2024,19:30,Delhi Capitals,221,201,Rajasthan Royals,Delhi Capitals won by 20 runs.,221/8 (20) : 201/8 (20),2.10,1.71,11,2024,2
06 May 2024,19:30,Mumbai Indians,174,173,Sunrisers Hyderabad,Mumbai Indians won by 7 wickets.,174/3 (17.2) : 173/8 (20),1.74,1.98,11,2024,2
05 May 2024,19:30,Lucknow Super Giants,137,235,Kolkata Knight Riders,Kolkata Knight Riders won by 98 runs.,137/10 (16.1) : 235/6 (20),1.98,1.81,11,2024,2
04 May 2024,19:30,Royal Challengers Bengaluru,152,147,Gujarat Titans,Royal Challengers Bengaluru won by 4 wickets.,152/6 (13.4) : 147/10 (19.3),1.67,2.18,11,2024,2
03 May 2024,19:30,Mumbai Indians,145,169,Kolkata Knight Riders,Kolkata Knight Riders won by 24 runs.,145/10 (18.5) : 169/10 (19.5),1.68,2.16,11,2024,2
02 May 2024,19:30,Sunrisers Hyderabad,201,200,Rajasthan Royals,Sunrisers Hyderabad won by 1 run.,201/3 (20) : 200/7 (20),1.80,1.99,11,2024,2
01 May 2024,19:30,Chennai Super Kings,162,163,Punjab Kings,Punjab Kings won by 7 wickets.,162/7 (20) : 163/3 (17.5),1.67,2.18,11,2024,2
30 Apr 2024,19:30,Lucknow Super Giants,145,144,Mumbai Indians,Lucknow Super Giants won by 4 wickets.,145/6 (19.2) : 144/7 (20),2.07,1.74,11,2024,2
29 Apr 2024,19:30,Kolkata Knight Riders,157,153,Delhi Capitals,Kolkata Knight Riders won by 7 wickets.,157/3 (16.3) : 153/9 (20),1.72,2.11,11,2024,2
28 Apr 2024,19:30,Chennai Super Kings,212,134,Sunrisers Hyderabad,Chennai Super Kings won by 78 runs.,212/3 (20) : 134/10 (18.5),1.85,1.94,11,2024,2
27 Apr 2024,19:30,Lucknow Super Giants,196,199,Rajasthan Royals,Rajasthan Royals won by 7 wickets.,196/5 (20) : 199/3 (19),2.05,1.76,11,2024,2
26 Apr 2024,19:30,Kolkata Knight Riders,261,262,Punjab Kings,Punjab Kings won by 8 wickets.,261/6 (20) : 262/2 (18.4),1.67,2.20,11,2024,2
25 Apr 2024,19:30,Sunrisers Hyderabad,171,206,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 35 runs.,171/8 (20) : 206/7 (20),1.67,2.18,11,2024,2
24 Apr 2024,19:30,Delhi Capitals,224,220,Gujarat Titans,Delhi Capitals won by 4 runs.,224/4 (20) : 220/8 (20),1.99,1.81,11,2024,2
23 Apr 2024,19:30,Chennai Super Kings,210,213,Lucknow Super Giants,Lucknow Super Giants won by 6 wickets.,210/4 (20) : 213/4 (19.3),1.78,2.02,11,2024,2
22 Apr 2024,19:30,Rajasthan Royals,183,179,Mumbai Indians,Rajasthan Royals won by 9 wickets.,183/1 (18.4) : 179/9 (20),2.06,1.75,11,2024,2
21 Apr 2024,19:30,Punjab Kings,142,146,Gujarat Titans,Gujarat Titans won by 3 wickets.,142/10 (20) : 146/7 (19.1),2.05,1.76,11,2024,2
20 Apr 2024,19:30,Delhi Capitals,199,266,Sunrisers Hyderabad,Sunrisers Hyderabad won by 67 runs.,199/10 (19.1) : 266/7 (20),2.15,1.69,11,2024,2
19 Apr 2024,19:30,Lucknow Super Giants,180,176,Chennai Super Kings,Lucknow Super Giants won by 8 wickets.,180/2 (19) : 176/6 (20),1.99,1.80,11,2024,2
18 Apr 2024,19:30,Punjab Kings,183,192,Mumbai Indians,Mumbai Indians won by 9 runs.,183/10 (19.1) : 192/7 (20),2.58,1.50,11,2024,2
17 Apr 2024,19:30,Gujarat Titans,89,92,Delhi Capitals,Delhi Capitals won by 6 wickets.,89/10 (17.3) : 92/4 (8.5),1.72,2.10,11,2024,2
16 Apr 2024,19:30,Kolkata Knight Riders,223,224,Rajasthan Royals,Rajasthan Royals won by 2 wickets.,223/6 (20) : 224/8 (20),1.85,1.96,11,2024,2
15 Apr 2024,19:30,Royal Challengers Bengaluru,262,287,Sunrisers Hyderabad,Sunrisers Hyderabad won by 25 runs.,262/7 (20) : 287/3 (20),2.03,1.78,11,2024,2
14 Apr 2024,19:30,Mumbai Indians,186,206,Chennai Super Kings,Chennai Super Kings won by 20 runs.,186/6 (20) : 206/4 (20),1.57,2.37,11,2024,2
13 Apr 2024,19:30,Punjab Kings,147,152,Rajasthan Royals,Rajasthan Royals won by 3 wickets.,147/8 (20) : 152/7 (19.5),2.11,1.71,11,2024,2
12 Apr 2024,19:30,Lucknow Super Giants,167,170,Delhi Capitals,Delhi Capitals won by 6 wickets.,167/7 (20) : 170/4 (18.1),1.71,2.11,11,2024,2
11 Apr 2024,19:30,Mumbai Indians,199,196,Royal Challengers Bengaluru,Mumbai Indians won by 7 wickets.,199/3 (15.3) : 196/8 (20),1.59,2.35,11,2024,2
