Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
16 Oct 2020,19:30,Mumbai Indians,149,148,Kolkata Knight Riders,Mumbai Indians won by 8 wickets.,149/2 (16.5) : 148/5 (20),1.64,2.22,6,2020,2
15 Oct 2020,19:30,Royal Challengers Bengaluru,171,177,Punjab Kings,Punjab Kings won by 8 wickets.,171/6 (20) : 177/2 (20),1.70,2.13,6,2020,2
14 Oct 2020,19:30,Delhi Capitals,161,148,Rajasthan Royals,Delhi Capitals won by 13 runs.,161/7 (20) : 148/8 (20),1.74,2.06,6,2020,2
13 Oct 2020,19:30,Sunrisers Hyderabad,147,167,Chennai Super Kings,Chennai Super Kings won by 20 runs.,147/8 (20) : 167/6 (20),1.94,1.85,6,2020,2
12 Oct 2020,19:30,Royal Challengers Bengaluru,194,112,Kolkata Knight Riders,Bangalore won by 82 runs.,194/2 (20) : 112/9 (20),1.78,2.03,6,2020,2
11 Oct 2020,19:30,Mumbai Indians,166,162,Delhi Capitals,Mumbai Indians won by 5 wickets.,166/5 (19.4) : 162/4 (20),1.69,2.14,8,2020,2
10 Oct 2020,19:30,Chennai Super Kings,132,169,Royal Challengers Bengaluru,Bangalore won by 37 runs.,132/8 (20) : 169/4 (20),2.08,1.72,8,2020,2
09 Oct 2020,19:30,Rajasthan Royals,138,184,Delhi Capitals,Delhi Capitals won by 46 runs.,138/10 (19.4) : 184/8 (20),2.19,1.66,8,2020,2
08 Oct 2020,19:30,Sunrisers Hyderabad,201,132,Punjab Kings,Sunrisers Hyderabad won by 69 runs.,201/6 (20) : 132/10 (16.5),1.87,1.92,8,2020,2
07 Oct 2020,19:30,Kolkata Knight Riders,167,157,Chennai Super Kings,Kolkata Knight Riders won by 10 runs.,167/10 (20) : 157/5 (20),1.86,1.91,8,2020,2
06 Oct 2020,19:30,Mumbai Indians,193,136,Rajasthan Royals,Mumbai Indians won by 57 runs.,193/4 (20) : 136/10 (18.1),1.60,2.32,8,2020,2
05 Oct 2020,19:30,Royal Challengers Bengaluru,137,196,Delhi Capitals,Delhi Capitals won by 59 runs.,137/9 (20) : 196/4 (20),1.80,1.98,8,2020,2
04 Oct 2020,19:30,Punjab Kings,178,181,Chennai Super Kings,Chennai Super Kings won by 10 wickets.,178/4 (20) : 181/0 (17.4),1.97,1.82,8,2020,2
03 Oct 2020,19:30,Delhi Capitals,228,210,Kolkata Knight Riders,Delhi Capitals won by 18 runs.,228/4 (20) : 210/8 (20),1.91,1.88,8,2020,2
02 Oct 2020,19:30,Chennai Super Kings,157,164,Sunrisers Hyderabad,Sunrisers Hyderabad won by 7 runs.,157/5 (20) : 164/5 (20),1.82,1.97,8,2020,2
01 Oct 2020,19:30,Punjab Kings,143,191,Mumbai Indians,Mumbai Indians won by 48 runs.,143/8 (20) : 191/4 (20),2.17,1.68,8,2020,2
30 Sep 2020,19:30,Rajasthan Royals,137,174,Kolkata Knight Riders,Kolkata Knight Riders won by 37 runs.,137/9 (20) : 174/6 (20),1.93,1.86,8,2020,2
29 Sep 2020,19:30,Delhi Capitals,147,162,Sunrisers Hyderabad,Sunrisers Hyderabad won by 15 runs.,147/7 (20) : 162/4 (20),1.73,2.08,6,2020,2
15 Oct 2021 - Play Offs,19:30,Chennai Super Kings,192,165,Kolkata Knight Riders,Chennai Super Kings won by 27 runs.,192/3 (20) : 165/9 (20),1.94,1.82,8,2021,1
13 Oct 2021 - Play Offs,19:30,Delhi Capitals,135,136,Kolkata Knight Riders,Kolkata Knight Riders won by 3 wickets.,135/5 (20) : 136/7 (19.5),2.00,1.78,8,2021,1
